region,customer,total_sales,sales_rank
,,28229.00,1
"ANDAMAN & NICOBAR ","Port Blair",144771.13,1
"ANDAMAN & NICOBAR ",PROTHRAPUR,13585.00,2
"ANDAMAN & NICOBAR ",BAMBOOFLAT,8764.24,3
"ANDAMAN & NICOBAR ",PORTBLAIR,8615.52,4
"ANDAMAN & NICOBAR ",FERRARGUNJ,7658.00,5
"ANDAMAN & NICOBAR ","SOUTH ANDAMAN",3448.00,6
"ANDAMAN & NICOBAR ",Haddo,2461.00,7
"ANDAMAN & NICOBAR ","GREAT NICOBAR",1973.00,8
"ANDAMAN & NICOBAR ","PORT BLAIR / South Andaman",1793.00,9
"ANDAMAN & NICOBAR ",GARACHARMA,1418.00,10
"ANDAMAN & NICOBAR ","School line",1199.00,11
"ANDAMAN & NICOBAR ","Prem nagar, Port Blair",1129.00,12
"ANDAMAN & NICOBAR ","Port Blair , South Andaman",1036.00,13
"ANDAMAN & NICOBAR ","Andaman and nicobar islands port Blair",999.00,14
"ANDAMAN & NICOBAR ",Havelock,844.00,15
"ANDAMAN & NICOBAR ",Portbair,828.00,16
"ANDAMAN & NICOBAR ","Goalghar port blair",798.00,17
"ANDAMAN & NICOBAR ",KAMORTA,729.00,18
"ANDAMAN & NICOBAR ","Panipat road",633.00,19
"ANDAMAN & NICOBAR ","SWARAJ DWEEP",459.00,20
"ANDAMAN & NICOBAR ",JUNGLIGHAT,399.00,21
"ANDAMAN & NICOBAR ","Portblair Shadipur",301.00,22
"ANDHRA PRADESH",VISAKHAPATNAM,669377.87,1
"ANDHRA PRADESH",VIJAYAWADA,379947.12,2
"ANDHRA PRADESH",GUNTUR,313266.06,3
"ANDHRA PRADESH",Nellore,235787.53,4
"ANDHRA PRADESH",TIRUPATI,171458.62,5
"ANDHRA PRADESH",KAKINADA,133198.58,6
"ANDHRA PRADESH",ANANTAPUR,117465.12,7
"ANDHRA PRADESH",Vizianagaram,92264.43,8
"ANDHRA PRADESH",RAJAHMUNDRY,86555.52,9
"ANDHRA PRADESH",CHITTOOR,85506.61,10
"ANDHRA PRADESH",KURNOOL,82531.19,11
"ANDHRA PRADESH",ONGOLE,69079.20,12
"ANDHRA PRADESH",KADAPA,66116.86,13
"ANDHRA PRADESH",ELURU,59600.27,14
"ANDHRA PRADESH",BHIMAVARAM,44994.78,15
"ANDHRA PRADESH",MADHURAWADA,44402.10,16
"ANDHRA PRADESH",PRODDATUR,44322.71,17
"ANDHRA PRADESH",Srikakulam,42862.57,18
"ANDHRA PRADESH",Hyderabad,28020.00,19
"ANDHRA PRADESH",NANDYAL,26671.15,20
"ANDHRA PRADESH",ANAKAPALLE,26062.58,21
"ANDHRA PRADESH",MANGALAGIRI,24957.00,22
"ANDHRA PRADESH",NARASARAOPET,22946.82,23
"ANDHRA PRADESH",MACHILIPATNAM,21307.21,24
"ANDHRA PRADESH",GUDUR,19573.00,25
"ANDHRA PRADESH",SRIKALAHASTI,19368.00,26
"ANDHRA PRADESH",CHIRALA,19155.00,27
"ANDHRA PRADESH",MADANAPALLE,18057.00,28
"ANDHRA PRADESH",TADPATRI,17153.00,29
"ANDHRA PRADESH",TENALI,17124.06,30
"ANDHRA PRADESH",CHILAKALURIPET,16125.44,31
"ANDHRA PRADESH",ANAPARTHY,16018.00,32
"ANDHRA PRADESH",NUZVID,15291.43,33
"ANDHRA PRADESH",IBRAHIMPATNAM,13947.00,34
"ANDHRA PRADESH",AMALAPURAM,13807.00,35
"ANDHRA PRADESH",TANUKU,13782.00,36
"ANDHRA PRADESH",Adoni,13460.00,37
"ANDHRA PRADESH",DHARMAVARAM,13454.71,38
"ANDHRA PRADESH","RUSHIKONDA APIIC",13230.00,39
"ANDHRA PRADESH",NARASAPUR,13200.00,40
"ANDHRA PRADESH",TADEPALLIGUDEM,12510.00,41
"ANDHRA PRADESH",PALACOLE,12396.71,42
"ANDHRA PRADESH",PILERU,12323.82,43
"ANDHRA PRADESH","GUDIVADA KRISHNA DISTRICT",12293.00,44
"ANDHRA PRADESH",tirupathi,12061.00,45
"ANDHRA PRADESH",TUNI,11409.32,46
"ANDHRA PRADESH",RAYADURG,11344.30,47
"ANDHRA PRADESH",GUNTAKAL,11223.00,48
"ANDHRA PRADESH",kanigiri,11209.00,49
"ANDHRA PRADESH",Cumbum,10548.67,50
